PlayerID,Name,Team,Position,Games
20000634,Courtney Lee,NY,SG,77
20000635,Mike Conley,MEM,PG,69
20000636,Tony Allen,MEM,SG,71
20000637,Beno Udrih,DET,PG,39
20000638,Vince Carter,MEM,SG,73
20000639,Kosta Koufos,SAC,C,71
20000642,JaMychal Green,MEM,PF,77
20000643,Jon Leuer,DET,PF,75
20000645,Jarnell Stokes,DEN,PF,2
20000646,Kawhi Leonard,SA,SF,74
20000648,Tiago Splitter,PHI,C,9
20000649,Tony Parker,SA,PG,63
20000650,Danny Green,SA,SG,68
20000651,Boris Diaw,UTA,C,73
20000652,Aron Baynes,DET,C,75
20000653,Manu Ginobili,SA,SG,69
20000654,Marco Belinelli,CHA,SG,74
20000655,Cory Joseph,TOR,PG,80
20000656,Patty Mills,SA,PG,80
20000659,Kyle Anderson,SA,SF,72
20000660,Reggie Williams,NO,SF,7
20000661,Blake Griffin,LAC,PF,61
20000662,Matt Barnes,GS,SF,74
20000663,DeAndre Jordan,LAC,C,81
20000664,Chris Paul,LAC,PG,61
20000665,J.J. Redick,LAC,SF,78
20000666,Jamal Crawford,LAC,SG,82
20000667,Austin Rivers,LAC,PG,74
20000670,Spencer Hawes,MIL,PF,54
20000671,Dahntay Jones,CLE,SG,1
20000675,C.J. Wilcox,ORL,SG,22
20000676,Tobias Harris,DET,SF,82
20000677,Kyle O'Quinn,NY,C,79
20000678,Nikola Vucevic,ORL,C,75
20000679,Evan Fournier,ORL,SF,69
20000680,Elfrid Payton,ORL,PG,82
20000681,Aaron Gordon,ORL,PF,80
20000684,Dewayne Dedmon,SA,C,76
20000686,Maurice Harkless,POR,SF,77
20000687,Andrew Nicholson,BKN,PF,39
20000688,Channing Frye,CLE,PF,74
20000689,Victor Oladipo,OKC,SG,67
20000693,Jameer Nelson,DEN,PG,75
20000694,Brandan Wright,MEM,PF,28
20000697,Tarik Black,LAL,PF,67
20000698,Troy Daniels,MEM,SG,67
20000699,Isaiah Canaan,CHI,PG,39
20000702,Wesley Johnson,LAC,SF,68
20000703,Jordan Hill,MIN,C,7
20000704,Jeremy Lin,BKN,PG,36
20000706,Ronnie Price,PHO,PG,14
20000707,Ed Davis,POR,PF,46
20000708,Jordan Clarkson,LAL,PG,82
20000710,Julius Randle,LAL,PF,74
20000712,Wayne Ellington,MIA,SG,62
20000713,Ryan Kelly,ATL,PF,16
20000715,Nick Young,LAL,SG,60
20000716,Nerlens Noel,DAL,C,51
20000720,Hollis Thompson,NO,SF,40
20000725,Luc Richard Mbah a Moute,LAC,PF,80
20000726,Joel Embiid,PHI,C,31
20000727,Jerami Grant,OKC,SF,80
20000729,Luis Scola,BKN,PF,36
20000730,Solomon Hill,NO,SF,80
20000731,Roy Hibbert,DEN,C,48
20000733,C.J. Miles,IND,SF,76
20000735,Lavoy Allen,IND,PF,61
20000736,Rodney Stuckey,IND,PG,39
20000737,Ian Mahinmi,WAS,C,31
20000738,Damjan Rudez,ORL,SF,45
20000739,C.J. Watson,ORL,PG,62
20000740,David West,GS,PF,68
20000742,Paul George,IND,SF,75
20000743,George Hill,UTA,PG,49
20000744,Larry Sanders,CLE,PF,5
20000745,Brandon Knight,PHO,PG,54
20000748,Michael Kidd-Gilchrist,CHA,SF,81
20000749,Marvin Williams,CHA,PF,76
20000750,Al Jefferson,IND,C,66
20000751,Lance Stephenson,IND,SG,18
20000752,Kemba Walker,CHA,PG,79
20000753,Gary Neal,ATL,PG,2
20000754,Cody Zeller,CHA,C,62
20000755,Brian Roberts,CHA,PG,41
20000757,Gerald Henderson,PHI,SG,72
20000758,Bismack Biyombo,ORL,C,81
20000762,Noah Vonleh,POR,PF,74
20000765,Marcus Thornton,WAS,SG,33
20000770,Luol Deng,LAL,SF,57
20000771,Chris Bosh,MIA,PF,0
20000772,Dwyane Wade,CHI,SG,60
20000774,Chris Andersen,CLE,PF,12
20000775,Shabazz Napier,POR,PG,53
20000776,James Ennis,MEM,SF,64
20000779,Justin Hamilton,BKN,C,64
20000780,Udonis Haslem,MIA,PF,17
20000782,Josh McRoberts,MIA,PF,22
20000783,Adreian Payne,MIN,PF,18
20000784,Carmelo Anthony,NY,PF,74
20000787,Quincy Acy,BKN,SF,38
20000788,Tim Hardaway Jr.,ATL,SF,79
20000789,Cole Aldrich,MIN,C,62
20000790,Jason Smith,WAS,PF,74
20000794,Jose Calderon,ATL,PG,44
20000795,Andrew Wiggins,MIN,SF,82
20000796,Nikola Pekovic,MIN,C,0
20000797,Ricky Rubio,MIN,PG,75
20000798,Mo Williams,PHI,PG,0
20000799,Shabazz Muhammad,MIN,SG,78
20000800,Gorgui Dieng,MIN,C,82
20000802,Anthony Bennett,BKN,PF,23
20000804,Zach LaVine,MIN,PG,47
20000806,Glenn Robinson III,IND,SG,69
20000809,Kyle Singler,OKC,SF,32
20000810,Andre Drummond,DET,C,81
20000811,Kentavious Caldwell-Pope,DET,SG,76
20000812,Brandon Jennings,WAS,PG,81
20000813,D.J. Augustin,ORL,PG,78
20000815,Joel Anthony,SA,PF,19
20000816,Spencer Dinwiddie,BKN,PG,59
20000818,Greg Monroe,MIL,C,81
20000820,Jodie Meeks,ORL,SG,36
20000821,Kenneth Faried,DEN,PF,61
20000822,Danilo Gallinari,DEN,SF,63
20000823,Ty Lawson,SAC,PG,69
20000824,Wilson Chandler,DEN,SF,71
20000825,Darrell Arthur,DEN,PF,41
20000826,Randy Foye,BKN,SG,69
20000827,Jusuf Nurkic,POR,C,65
20000828,JaVale McGee,GS,C,77
20000832,Gary Harris,DEN,SG,57
20000833,Gordon Hayward,UTA,SF,73
20000834,Derrick Favors,UTA,PF,50
20000835,Enes Kanter,OKC,C,72
20000836,Trey Burke,WAS,PG,57
20000837,Alec Burks,UTA,SG,42
20000838,Trevor Booker,BKN,PF,71
20000839,Rodney Hood,UTA,SG,59
20000840,Rudy Gobert,UTA,C,81
20000841,Dante Exum,UTA,PG,66
20000842,Joe Ingles,UTA,SF,82
20000843,Ian Clark,GS,SG,77
20000845,Steve Novak,MIL,SF,8
20000847,Marcus Morris,DET,PF,79
20000848,Markieff Morris,WAS,PF,76
20000849,Goran Dragic,MIA,PG,73
20000850,Eric Bledsoe,PHO,PG,66
20000851,Gerald Green,BOS,SG,47
20000852,Alex Len,PHO,C,77
20000854,Anthony Tolliver,SAC,PF,65
20000855,Archie Goodwin,BKN,SG,15
20000856,P.J. Tucker,TOR,SF,81
20000858,T.J. Warren,PHO,SF,66
20000860,Rudy Gay,SAC,SF,30
20000862,DeMarcus Cousins,NO,C,72
20000863,Darren Collison,SAC,PG,68
20000864,Ben McLemore,SAC,SG,61
20000865,Nik Stauskas,PHI,SG,80
20000867,Omri Casspi,MIN,SF,36
20000868,Derrick Williams,CLE,PF,50
20000871,Ray McCallum,CHA,PG,0
20000874,Serge Ibaka,TOR,PF,79
20000875,Steven Adams,OKC,C,80
20000876,Andre Roberson,OKC,SG,79
20000877,Russell Westbrook,OKC,PG,81
20000878,Lance Thomas,NY,SF,46
20000879,Nick Collison,OKC,PF,20
20000881,Reggie Jackson,DET,PG,52
20000882,Jeremy Lamb,CHA,SG,62
20000883,Anthony Morrow,CHI,SG,49
20000884,Kevin Durant,GS,SF,62
20000887,Will Barton,DEN,SG,60
20000888,Thomas Robinson,LAL,PF,48
20000890,Dion Waiters,MIA,SG,46
20000895,Jordan Farmar,SAC,PG,2
20000896,Reggie Bullock,DET,SF,31
20000901,Ish Smith,DET,PG,81
20000903,Robert Covington,PHI,SF,67
20000904,Hassan Whiteside,MIA,C,77
20000911,Elijah Millsap,PHO,SG,2
20000912,Langston Galloway,SAC,SG,75
20000916,Tyler Johnson,MIA,SG,73
20000921,John Lucas III,MIN,PG,5
20000922,Joffrey Lauvergne,CHI,C,70
20000928,Michael Beasley,MIL,SF,56
20000930,Jarell Eddie,PHO,SG,5
20000933,Seth Curry,DAL,SG,70
20000934,Sean Kilpatrick,BKN,SG,70
20000939,Arinze Onuaku,ORL,PF,8
20000966,Jordan Crawford,NO,SG,19
20000979,Metta World Peace,LAL,SF,25
20001006,Manny Harris,DAL,PG,4
20001008,Sasha Vujacic,NY,SG,42
20001013,DeAndre Liggins,DAL,SG,62
20001022,Willie Reed,MIA,C,71
20001109,Justin Harper,PHI,PF,3
20001245,Bobby Brown,HOU,PG,25
20001249,Sergio Rodriguez,PHI,PG,68
20001389,Richaun Holmes,PHI,PF,57
20001390,Pierre Jackson,DAL,PG,8
20001391,Jahlil Okafor,PHI,C,50
20001393,Kelly Oubre Jr.,WAS,SF,79
20001395,Aaron Harrison,CHA,SG,5
20001396,Frank Kaminsky,CHA,PF,75
20001399,Walter Tavares,CLE,C,2
20001400,Josh Richardson,MIA,SF,53
20001401,Justise Winslow,MIA,SF,18
20001403,Mario Hezonja,ORL,SG,65
20001404,Jerian Grant,CHI,PG,63
20001405,Guillermo Hernangomez,NY,C,72
20001406,Kristaps Porzingis,NY,PF,66
20001408,Rondae Hollis-Jefferson,BKN,SF,78
20001409,Chris McCullough,WAS,PF,16
20001411,R.J. Hunter,CHI,SG,3
20001412,Jordan Mickey,BOS,C,25
20001413,Terry Rozier,BOS,PG,74
20001416,Norman Powell,TOR,SF,76
20001417,Axel Toupane,NO,SG,4
20001418,Delon Wright,TOR,PG,27
20001419,Cristiano Da Silva Felicio,CHI,C,66
20001420,Bobby Portis,CHI,PF,64
20001423,Rakeem Christmas,IND,PF,29
20001424,Myles Turner,IND,C,81
20001425,Joseph Young,IND,PG,33
20001426,Darrun Hilliard,DET,SG,39
20001427,Stanley Johnson,DET,SF,77
20001428,Rashad Vaughn,MIL,SG,41
20001429,Nemanja Bjelica,MIN,PF,65
20001430,Tyus Jones,MIN,PG,60
20001431,Karl-Anthony Towns,MIN,C,82
20001433,Trey Lyles,UTA,PF,72
20001434,Raul Neto,UTA,PG,40
20001437,Cameron Payne,CHI,PG,31
20001438,Pat Connaughton,POR,SG,40
20001441,Nikola Jokic,DEN,C,73
20001442,Emmanuel Mudiay,DEN,PG,55
20001444,Andrew Harrison,MEM,SG,72
20001445,Jarell Martin,MEM,PF,42
20001446,Sam Dekker,HOU,SF,77
20001447,Montrezl Harrell,HOU,PF,58
20001449,Boban Marjanovic,DET,C,34
20001451,Jonathon Simmons,SA,SF,78
20001452,Justin Anderson,PHI,SG,75
20001453,Maurice Daly Ndour,NY,SF,32
20001455,Kevon Looney,GS,SF,53
20001456,Anthony Brown,ORL,SF,11
20001457,Larry Nance Jr.,LAL,PF,63
20001458,D'Angelo Russell,LAL,PG,63
20001460,Devin Booker,PHO,SG,78
20001461,Willie Cauley-Stein,SAC,C,75
20001465,Lamar Patterson,ATL,SG,6
20001470,Treveon Graham,CHA,SG,27
20001472,Josh Huestis,OKC,SF,2
20001477,Salah Mejri,DAL,C,73
20001525,T.J. McConnell,PHI,PG,81
20001526,Jordan McRae,CLE,SG,37
20001527,Christian Wood,CHA,PF,13
20001556,Denzel Livingston,CHI,PG,26
20001564,Marcelo Huertas,LAL,PG,23
20001573,Quinn Cook,NO,PG,14
20001586,Briante Weber,CHA,PG,20
20001597,Dario Saric,PHI,PF,81
20001623,Rodney Mcgruder,MIA,SG,78
20001645,Alan Williams,PHO,PF,47
