PlayerID_x,Name,Team,Position,Games,Income,Points,Rebounds,Assists,BlockedShots,Steals
20000472,Tyreke Evans,SAC,SG,40,10203755,411,136,125,9,35
20000650,Danny Green,SA,SG,68,10000000,497,222,124,57,72
20000453,Terrence Ross,ORL,SG,78,10000000,858,208,88,33,87
20000576,Iman Shumpert,CLE,SG,76,9662922,567,218,109,27,62
20000579,Matthew Dellavedova,MIL,PG,76,9607500,577,149,358,0,50
20000838,Trevor Booker,BKN,PF,71,9250000,709,572,138,28,75
20000621,Meyers Leonard,POR,C,74,9213483,401,236,71,28,13
20000757,Gerald Henderson,PHI,SG,72,9000000,662,185,112,14,41
20000686,Maurice Harkless,POR,SF,77,8988765,773,342,88,68,84
20000517,Taj Gibson,OKC,PF,78,8950000,846,488,73,65,43
20000605,Jeff Teague,IND,PG,82,8800000,1254,331,638,32,101
20000498,Ersan Ilyasova,ATL,PF,82,8400000,1073,483,138,24,59
20000539,Dwight Powell,DAL,PF,77,8375000,516,306,49,39,61
20000559,Avery Bradley,BOS,SG,55,8269663,894,334,121,11,68
20000524,E'Twaun Moore,NO,SG,73,8081363,700,152,164,31,50
20000639,Kosta Koufos,SAC,C,71,8046500,470,404,46,48,35
20000743,George Hill,UTA,PG,49,8000000,829,167,203,11,49
20001249,Sergio Rodriguez,PHI,PG,68,8000000,530,161,345,4,48
20000854,Anthony Tolliver,SAC,PF,65,8000000,461,236,77,20,33
20000452,Garrett Temple,SAC,SG,65,8000000,506,184,168,28,84
20000541,Trevor Ariza,HOU,SF,80,7806971,935,458,175,20,147
20000688,Channing Frye,CLE,PF,74,7806971,676,290,45,38,33
20000532,Al-Farouq Aminu,POR,PF,62,7680965,532,451,100,44,61
20000547,Corey Brewer,LAL,SF,82,7612172,371,166,97,19,62
20000848,Markieff Morris,WAS,PF,76,7400000,1063,493,126,44,82
20000655,Cory Joseph,TOR,PG,80,7315000,740,234,266,11,69
20000813,D.J. Augustin,ORL,PG,78,7250000,616,117,210,1,31
20000459,Lou Williams,HOU,SG,81,7000000,1419,203,239,20,80
20000651,Boris Diaw,UTA,C,73,7000000,338,158,170,9,18
20000561,Isaiah Thomas,BOS,PG,76,6587132,2199,205,448,12,70
20000689,Victor Oladipo,OKC,SG,67,6552961,1067,291,176,22,77
20000882,Jeremy Lamb,CHA,SG,62,6511628,603,264,74,24,27
20000652,Aron Baynes,DET,C,75,6500000,365,333,32,39,17
