Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
183,20000542,Terrence Jones,MIL,PF,54,584,306,58,55,40,47,60.6,25.3,103,212,19,48,1270,6,0,1180.2
184,20000839,Rodney Hood,UTA,SG,59,748,202,96,11,38,40.9,78.3,37.3,90,158,114,66,1593,0,0,1166.4
185,20000439,Nene Hilario,HOU,C,67,609,279,65,40,55,61.7,58.9,33.3,116,242,3,73,1197,1,0,1158.3
186,20001389,Richaun Holmes,PHI,PF,57,559,307,57,54,42,55.8,69.9,35.1,72,203,27,53,1192,5,0,1151.9
187,20000528,Tyson Chandler,PHO,C,47,397,538,30,24,33,67.1,73.4,0,91,153,0,67,1297,12,0,1134.6
188,20000650,Danny Green,SA,SG,68,497,222,124,57,72,39.3,84.4,38.1,27,58,118,75,1806,0,0,1132.4
189,20000639,Kosta Koufos,SAC,C,71,470,404,46,48,35,55.1,61.3,0,38,216,0,61,1419,5,0,1128.8
190,20001442,Emmanuel Mudiay,DEN,PG,55,603,179,217,13,41,37.7,78.4,31.5,131,152,56,123,1405,1,0,1128.3
191,20000452,Garrett Temple,SAC,SG,65,506,184,168,28,84,42.4,78.4,37.1,58,101,82,78,1728,0,0,1124.8
192,20000539,Dwight Powell,DAL,PF,77,516,306,49,39,61,51.5,75.9,28.4,107,173,21,34,1333,2,0,1122.7
193,20000615,Thabo Sefolosha,ATL,SF,62,444,271,107,31,92,44.2,73.3,34.2,55,133,41,59,1595,0,0,1116.7
194,20000715,Nick Young,LAL,SG,60,791,137,58,14,37,43,85.6,40.5,77,102,170,36,1556,0,0,1108.4
195,20000726,Joel Embiid,PHI,C,31,627,242,66,76,27,46.6,78.3,36.7,191,164,36,117,786,9,0,1105.4
196,20000604,Kyle Korver,CLE,SG,67,678,186,110,21,33,46.5,90.5,45.1,38,77,162,69,1753,0,0,1105.2
197,20000757,Gerald Henderson,PHI,SG,72,662,185,112,14,41,42.5,80.6,35.3,133,173,61,65,1667,0,0,1097
198,20000882,Jeremy Lamb,CHA,SG,62,603,264,74,24,27,45.9,85.3,27.9,110,185,41,40,1142,1,0,1092.8
199,20000576,Iman Shumpert,CLE,SG,76,567,218,109,27,62,41.1,78.9,35.9,71,107,94,78,1937,0,0,1092.1
200,20000799,Shabazz Muhammad,MIN,SG,78,772,221,35,6,22,48.2,77.4,33.6,147,239,49,56,1515,1,0,1089.7
