Player_name,Income
LeBron James,30963450
Mike Conley,26540100
Al Horford,26540100
Dirk Nowitzki,25000000
Carmelo Anthony,24559380
Damian Lillard,24328425
Chris Bosh,23741060
Dwyane Wade,23200000
Dwight Howard,23180275
Chris Paul,22868827
Chandler Parsons,22116750
Bradley Beal,22116750
Anthony Davis,22116750
Derrick Rose,21323252
Marc Gasol,21165675
DeAndre Jordan,21165675
Brook Lopez,21165675
Kevin Love,21165675
Nicolas Batum,20869566
LaMarcus Aldridge,20575005
Blake Griffin,20140839
Paul Millsap,20072033
Ryan Anderson,18735364
Allen Crabbe,18500000
Paul George,18314532
Luol Deng,18000000
Kawhi Leonard,17638063
Kyrie Irving,17638063
Jimmy Butler,17552209
Tobias Harris,17200000
Greg Monroe,17145838
Enes Kanter,17145838
Wesley Matthews,17145838
Joakim Noah,17000000
Bismack Biyombo,17000000
Evan Fournier,17000000
John Wall,16957900
DeMarcus Cousins,16957900
Klay Thompson,16663575
Evan Turner,16393443
Gordon Hayward,16073140
Timofey Mozgov,16000000
Ian Mahinmi,15944154
Goran Dragic,15891725
Kent Bazemore,15730338
Pau Gasol,15500000
Draymond Green,15330435
Tristan Thompson,15330435
Khris Middleton,15200000
Danilo Gallinari,15050000
Jeff Green,15000000
Reggie Jackson,14956522
Tony Parker,14445313
Jonas Valanciunas,14382023
DeMarre Carroll,14200000
Thaddeus Young,14153652
Manu Ginobili,14000000
Rajon Rondo,14000000
Ricky Rubio,13550000
Rudy Gay,13333333
Jamal Crawford,13253012
Robin Lopez,13219250
Michael Kidd-Gilchrist,13000000
JR Smith,12800000
Brandon Knight,12606250
John Henson,12517606
Arron Afflalo,12500000
Miles Plumlee,12500000
Tyson Chandler,12415000
Eric Gordon,12385364
Marvin Williams,12250000
Serge Ibaka,12250000
Stephen Curry,12112359
Nikola Pekovic,12100000
Kenneth Faried,12078652
Kemba Walker,12000000
Amir Johnson,12000000
Marcin Gortat,12000000
Nikola Vucevic,11750000
Jeremy Lin,11483254
Jrue Holiday,11286518
Courtney Lee,11242000
Solomon Hill,11241218
Wilson Chandler,11233146
Andre Iguodala,11131368
Derrick Favors,11050000
Austin Rivers,11000000
Joe Johnson,11000000
Jon Leuer,10991957
Monta Ellis,10763500
Mirza Teletovic,10500000
Jared Dudley,10470000
Zach Randolph,10361445
Al Jefferson,10314532
Tyreke Evans,10203755
Alec Burks,10154495
Danny Green,10000000
Terrence Ross,10000000
Omer Asik,9904494
Iman Shumpert,9662922
Matthew Dellavedova,9607500
Jerryd Bayless,9424084
Trevor Booker,9250000
Meyers Leonard,9213483
Gerald Henderson,9000000
Maurice Harkless,8988765
Taj Gibson,8950000
Jeff Teague,8800000
Tiago Splitter,8550000
Ersan Ilyasova,8400000
Dwight Powell,8375000
Avery Bradley,8269663
E'Twaun Moore,8081363
Darrell Arthur,8070175
Kosta Koufos,8046500
Garrett Temple,8000000
George Hill,8000000
Tyler Zeller,8000000
Sergio Rodriguez,8000000
Anthony Tolliver,8000000
Yi Jianlian,8000000
Trevor Ariza,7806971
Channing Frye,7806971
Al-Farouq Aminu,7680965
Cole Aldrich,7643979
Corey Brewer,7612172
Markieff Morris,7400000
Festus Ezeli,7400000
JJ Redick,7377500
Cory Joseph,7315000
D.J. Augustin,7250000
Lou Williams,7000000
Boris Diaw,7000000
Rodney Stuckey,7000000
Ed Davis,6666667
Isaiah Thomas,6587132
Victor Oladipo,6552961
Jodie Meeks,6540000
Jeremy Lamb,6511628
Carl Landry,6500000
Aron Baynes,6500000
Tim Duncan,6393750
Spencer Hawes,6348759
Marco Belinelli,6333333
Jae Crowder,6286408
Lance Thomas,6191000
Tarik Black,6191000
Andrew Nicholson,6088993
Patrick Patterson,6050000
Andrew Wiggins,6006600
Ramon Sessions,6000000
Patrick Beverley,6000000
Wayne Ellington,6000000
Ish Smith,6000000
Alex Abrines,5994764
Karl-Anthony Towns,5960160
Ben Simmons,5903160
Otto Porter Jr.,5893981
Shaun Livingston,5782450
Nikola Mirotic,5782450
Brandan Wright,5709880
Tyler Johnson,5628000
Jared Sullinger,5628000
Wesley Johnson,5628000
Tony Allen,5505618
Luis Scola,5500000
Nick Young,5443918
Jabari Parker,5374320
D'Angelo Russell,5332800
Cody Zeller,5318313
PJ Tucker,5300000
Brandon Ingram,5281680
Kyle Korver,5239437
Darren Collison,5229454
Langston Galloway,5200000
Jason Smith,5000000
Brandon Jennings,5000000
Jonas Jerebko,5000000
C.J. Watson,5000000
Roy Hibbert,5000000
Kyle Singler,4837500
Mike Dunleavy,4837500
Joel Embiid,4826160
Alex Len,4823621
Jahlil Okafor,4788840
Jaylen Brown,4743000
Alexis Ajinca,4638203
Marcus Morris,4625000
CJ Miles,4583450
Jameer Nelson,4540525
Nerlens Noel,4384490
Aaron Gordon,4351320
Greivis Vasquez,4347826
Kristaps Porzingis,4317720
Dragan Bender,4276320
Vince Carter,4264057
Devin Harris,4227996
J.J. Barea,4096950
Ben McLemore,4008882
Lavoy Allen,4000000
Udonis Haslem,4000000
Kris Humphries,4000000
Jordan Hill,4000000
Leandro Barbosa,4000000
Lance Stephenson,4000000
Dante Exum,3940320
Kyle O'Quinn,3918750
Mario Hezonja,3909840
Kris Dunn,3872520
Thabo Sefolosha,3850000
Nemanja Bjelica,3800000
Nick Collison,3750000
Bojan Bogdanovic,3730653
Kentavious Caldwell-Pope,3678319
Quincy Pondexter,3617978
Patty Mills,3578948
Marcus Smart,3578880
Willie Cauley-Stein,3551160
Drew Gooden,3547000
Will Barton,3533333
Paul Pierce,3527920
Buddy Hield,3517200
Brandon Rush,3500000
Mike Miller,3500000
Anthony Morrow,3488000
Trey Burke,3386598
Mike Scott,3333334
KJ McDaniels,3333333
Troy Daniels,3332940
Julius Randle,3267120
Emmanuel Mudiay,3241800
CJ McCollum,3219579
Jamal Murray,3210840
Michael Carter-Williams,3183526
Steven Adams,3140517
Kelly Olynyk,3094014
Shabazz Muhammad,3046299
Justin Hamilton,3000000
Tibor Pleiss,3000000
Giannis Antetokounmpo,2995421
Nik Stauskas,2993040
Dante Cunningham,2978250
Stanley Johnson,2969880
Marquese Chriss,2941440
Dion Waiters,2898000
Nene Hilario,2898000
Mindaugas Kuzminskas,2898000
Seth Curry,2898000
Dewayne Dedmon,2898000
Tomas Satoransky,2870813
Noah Vonleh,2751360
Frank Kaminsky,2730000
Dennis Schroder,2708582
Jakob Poeltl,2703960
Aaron Brooks,2700000
Elfrid Payton,2613600
Justise Winslow,2593440
Thon Maker,2568600
Randy Foye,2500000
Malcolm Delaney,2500000
Doug McDermott,2483040
Myles Turner,2463840
Domantas Sabonis,2440200
Shelvin Mack,2433334
Tony Snell,2368327
Gorgui Dieng,2348783
Trey Lyles,2340600
Mason Plumlee,2328530
Dario Saric,2318280
Taurean Prince,2318280
Tim Hardaway Jr.,2281605
Reggie Bullock,2255644
Zach LaVine,2240880
Devin Booker,2223600
Luc Mbah a Moute,2203000
Georgios Papagiannis,2202240
Mo Williams,2194500
Andre Roberson,2183072
Joe Ingles,2150000
T.J. Warren,2128920
Rudy Gobert,2121288
Cameron Payne,2112480
Denzel Valentine,2092200
Tim Frazier,2090000
Kendall Marshall,2048257
Adreian Payne,2022240
Kelly Oubre Jr.,2006640
Juan Hernangomez,1987440
Lucas Nogueira,1921320
Jusuf Nurkic,1921320
Terry Rozier,1906440
James Young,1825200
Rashad Vaughn,1811040
Kevin Seraphin,1800000
Wade Baldwin IV,1793760
Quincy Acy,1790092
Tyler Ennis,1733880
Sam Dekker,1720560
Joffrey Lauvergne,1709719
Henry Ellenson,1704120
Gary Harris,1655880
Jerian Grant,1643040
Malik Beasley,1627320
Bruno Caboclo,1589640
Delon Wright,1577280
Caris LeVert,1562280
David Lee,1551659
Caron Butler,1551659
Mitch McGary,1526040
Justin Anderson,1514160
Marcelo Huertas,1500000
DeAndre' Bembry,1499760
Jordan Adams,1465080
